,출생,사망,전입,전출,혼인,이혼,cluster,cluster_s,위도,경도,동
311,100,81,3332,4142,84,37,2,0,37.53037915,126.871157218058,목1동
312,178,121,4189,4662,144,42,2,2,37.5461269,126.8716981945392,목2동
313,157,103,3158,3773,107,32,2,0,37.5447128,126.8644592990214,목3동
314,66,98,2987,3471,60,42,2,0,37.5324073,126.8683621,목4동
315,98,106,4077,5024,52,21,2,0,37.53719715,126.8817296558076,목5동
316,80,125,2377,2734,94,53,0,0,37.51924,126.85754,신월1동
317,100,116,2205,2776,69,43,0,0,37.5192067,126.8706968,신월2동
318,67,116,1924,2358,52,56,0,0,37.51514135,126.854808789051,신월3동
319,85,81,1586,2001,42,32,0,1,37.5240393,126.8587822,신월4동
320,84,69,1849,2204,50,31,0,1,37.51706595,126.8644757540225,신월5동
321,83,31,1599,1493,73,17,0,1,37.5348099,126.8783553,신월6동
322,72,146,2220,2861,70,38,0,0,37.5325257,126.831595,신월7동
323,62,75,2381,2875,35,24,0,1,37.5262271,126.8483313,신정1동
324,36,86,2035,2421,29,18,0,1,37.5319091,126.8276744,신정2동
325,255,187,8459,5231,151,80,1,2,37.51514135,126.854808789051,신정3동
326,145,172,4549,5196,112,54,2,2,37.5371607,126.8291793,신정4동
327,86,68,2725,3201,62,19,2,1,37.517354,126.86448,신정6동
328,121,140,3300,4019,73,44,2,0,37.5214641,126.8361532,신정7동
329,135,85,3591,3940,155,39,2,0,37.5246737,126.897616,당산1동
330,256,127,6580,6517,187,49,1,2,37.5183839,126.8948726,당산2동
331,43,69,1658,1919,57,23,0,1,37.49274,126.90365,대림1동
332,40,50,1635,2044,42,26,0,1,37.4927457,126.8982706,대림2동
333,125,106,2479,3075,98,24,0,0,37.4982976,126.8980585,대림3동
334,110,98,2632,3007,117,27,0,0,37.5092232,126.8949478,도림동
335,272,118,3646,4137,198,38,2,2,37.5168505,126.8992168,문래동
336,64,128,3389,3296,98,32,2,0,37.5127629,126.9221459,신길1동
337,82,94,2100,2321,52,20,0,1,37.5077217,126.9076467,신길3동
338,28,61,1666,1370,52,10,0,1,37.5069745,126.9138037,신길4동
339,55,64,1282,1745,62,15,0,1,37.50160715,126.9052434681105,신길5동
340,97,89,4100,2980,102,29,2,0,37.4993739,126.9098518,신길6동
341,155,54,3420,3698,79,19,2,0,37.5063831,126.9214518,신길7동
342,173,80,4037,3205,159,25,2,0,37.5242156,126.8881595,양평1동
343,202,76,3529,3600,171,31,2,0,37.5386996,126.8964016,양평2동
344,191,133,3837,4579,108,43,2,0,37.5176571,126.934559599494,여의동
345,160,175,8085,6648,252,55,1,2,37.5195754,126.9122636,영등포동
346,108,139,2899,3027,90,35,2,0,37.5144067,126.910022,영등포본동
347,16,84,1777,1714,26,26,0,1,37.54574635,126.9748285242405,남영동
348,36,92,1958,2430,54,22,0,1,37.5290252,126.9920025,보광동
349,56,62,2185,2248,31,18,0,1,37.5198,126.9829,서빙고동
350,61,57,1634,2019,50,16,0,1,37.5378177,126.9562536,용문동
351,30,50,1227,1536,60,9,0,1,37.546128,126.9855719,용산2가동
352,139,66,3177,3275,98,22,2,0,37.5372658,126.9677293,원효로1동
353,82,63,1863,2097,65,17,0,1,37.5338578,126.9518669,원효로2동
354,177,111,2574,4575,79,22,2,0,37.5211598,126.9728621,이촌1동
355,84,54,1133,1491,35,12,0,1,37.526192,126.9551755,이촌2동
356,17,48,1248,1360,33,8,0,1,37.5330546,126.9944068,이태원1동
357,27,53,1404,1492,35,10,0,1,37.5416891,126.9906339,이태원2동
358,62,109,3405,3490,79,31,2,0,37.5453328,126.9674888,청파동
359,116,66,5600,3927,126,45,2,0,37.5281196,126.9692003704209,한강로동
360,112,92,3144,3593,103,41,2,0,37.53462385,127.0005160667444,한남동
361,77,38,1612,1747,50,17,0,1,37.54246375,126.961888497125,효창동
362,84,100,2070,2578,71,36,0,0,37.5496447,126.9774587,후암동
363,78,166,2581,3741,81,40,2,0,37.6236538,126.9166665641447,갈현1동
364,107,170,3600,4118,88,46,2,0,37.6185062,126.9158164842187,갈현2동
365,110,269,4241,4363,94,49,2,2,37.6111833,126.9100301,구산동
366,239,215,5312,5725,162,55,1,2,37.5979948,126.9136836,녹번동
367,96,138,4320,4608,124,57,2,0,37.6136854,126.9206302,대조동
368,183,206,4679,5525,125,65,2,2,37.610389,126.9321126269629,불광1동
369,92,181,3529,4261,82,57,2,0,37.6263847,126.9272304,불광2동
370,39,58,2803,1266,52,22,0,1,37.594877,126.9103800940924,수색동
371,141,167,3363,3712,90,52,2,0,37.59778255,126.9118157675268,신사1동
372,69,104,2395,2819,60,29,0,1,37.5898793,126.9106113,신사2동
373,186,238,5845,6630,154,91,1,2,37.6208433,126.9244467,역촌동
374,157,138,6364,4239,141,47,1,2,37.5999132,126.926471,응암1동
375,260,98,3553,3322,92,41,2,0,37.59461935,126.9230958733867,응암2동
376,85,175,3250,3832,81,54,2,0,37.5922353,126.9157499812642,응암3동
377,75,90,1758,2071,42,29,0,1,37.5843584,126.907023146055,증산동
378,227,210,5676,6719,122,73,1,2,37.6349044,126.9210617,진관동
379,8,21,498,651,9,7,0,1,37.58002545,126.9848046483195,가회동
